# L_thumb,L_index,L_middle,L_ring,L_pinky,L_wrist,R_thumb,R_index,R_middle,R_ring,R_pinky,R_wrist,label
0.0000,0.0099,0.0333,0.0000,0.0226,0.5352,1.0000,0.0000,0.0213,0.0000,0.0379,0.5000,0
0.0000,0.0000,0.0000,0.0000,0.0002,0.5000,1.0000,0.0376,0.0000,0.0051,0.0315,0.5000,0
0.0129,0.0040,0.0170,0.0204,0.0000,0.5000,1.0000,0.0011,0.0394,0.0000,0.0333,0.5331,0
0.0000,0.0000,0.0247,0.0000,0.0000,0.5531,1.0000,0.0162,0.0063,0.0305,0.0000,0.5286,0
0.0207,0.0000,0.0000,0.0225,0.0000,0.5000,1.0000,0.0375,0.0000,0.0000,0.0314,0.5000,0
0.0108,0.0000,0.0013,0.0000,0.0000,0.5291,1.0000,0.0000,0.0000,0.0000,0.0168,0.5592,0
0.0000,0.0000,0.0304,0.0306,0.0077,0.5000,1.0000,0.0000,0.0336,0.0151,0.0153,0.5578,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.5581,1.0000,0.0000,0.0219,0.0211,0.0000,0.5000,0
0.0144,0.0000,0.0312,0.0000,0.0000,0.5423,1.0000,0.0000,0.0305,0.0364,0.0214,0.5545,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.5416,1.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0
1.0000,0.0000,0.0000,0.0361,0.0390,0.5000,1.0000,0.0037,0.0000,0.0000,0.0392,0.5000,0
1.0000,0.0000,0.0000,0.0000,0.0316,0.5000,1.0000,0.0067,0.0000,0.0241,0.0000,0.5000,0
1.0000,0.0434,0.0359,0.0130,0.0388,0.5000,1.0000,0.0000,0.0000,0.0162,0.0200,0.5000,0
1.0000,0.0227,0.0362,0.0109,0.0000,0.5000,1.0000,0.0000,0.0000,0.0000,0.0317,0.5612,0
1.0000,0.0290,0.0000,0.0000,0.0000,0.5254,1.0000,0.0000,0.0000,0.0175,0.0151,0.5000,0
1.0000,0.0000,0.0088,0.0000,0.0171,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0
1.0000,0.0000,0.0000,0.0000,0.0071,0.5000,1.0000,0.0148,0.0000,0.0000,0.0000,0.5000,0
1.0000,0.0349,0.0043,0.0000,0.0241,0.5000,1.0000,0.0000,0.0000,0.0086,0.0288,0.5000,0
1.0000,0.0000,0.0009,0.0161,0.0000,0.5000,1.0000,0.0000,0.0000,0.0372,0.0000,0.5345,0
1.0000,0.0120,0.0000,0.0018,0.0334,0.5166,1.0000,0.0000,0.0000,0.0000,0.0000,0.5410,0
1.0000,0.0000,0.0082,0.0000,0.0103,0.5000,1.0000,0.0390,0.0353,0.0094,0.0143,0.5292,1
1.0000,0.0079,0.0000,0.0000,0.0279,0.5000,1.0000,0.0000,0.0137,0.0000,0.0000,0.5261,1
1.0000,0.0193,0.0000,0.0000,0.0329,0.5000,1.0000,0.0278,0.0207,0.0000,0.0109,0.5000,1
1.0000,0.0000,0.0000,0.0269,0.0000,0.5000,1.0000,0.0000,0.0020,0.0000,0.0383,0.5158,1
1.0000,0.0000,0.0182,0.0391,0.0029,0.5194,1.0000,0.0090,0.0015,0.0000,0.0000,0.5000,1
1.0000,0.0000,0.0128,0.0376,0.0320,0.5000,1.0000,0.0214,0.0268,0.0104,0.0050,0.5000,1
1.0000,0.0270,0.0000,0.0253,0.0201,0.5191,1.0000,0.0000,0.0053,0.0000,0.0334,0.5194,1
1.0000,0.0023,0.0363,0.0343,0.0270,0.5000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1
1.0000,0.0000,0.0000,0.0000,0.0000,0.5149,1.0000,0.0000,0.0000,0.0237,0.0000,0.5000,1
1.0000,0.0000,0.0000,0.0041,0.0000,0.5000,1.0000,0.0339,0.0000,0.0325,0.0398,0.5000,1
0.0000,0.0000,0.0000,0.0315,0.0000,0.5119,1.0000,0.9091,0.0000,0.0203,0.0202,0.5168,2
0.0000,0.0252,0.0089,0.0000,0.0159,0.5247,1.0000,0.9091,0.0375,0.0000,0.0014,0.5170,2
0.0296,0.0000,0.0000,0.0059,0.0000,0.5000,1.0000,0.9091,0.0000,0.0215,0.0000,0.5443,2
0.0554,0.0453,0.0000,0.0181,0.0000,0.5520,1.0000,0.8814,0.0175,0.0075,0.0418,0.5000,2
0.0000,0.0095,0.0000,0.0000,0.0285,0.5015,1.0000,0.9091,0.0231,0.0019,0.0000,0.5077,2
0.0000,0.0273,0.0128,0.0000,0.0000,0.5000,1.0000,0.8838,0.0327,0.0000,0.0364,0.5000,2
0.0000,0.0000,0.0000,0.0000,0.0090,0.5000,1.0000,0.8933,0.0183,0.0269,0.0000,0.5000,2
0.0205,0.0207,0.0092,0.0000,0.0000,0.5000,1.0000,0.8769,0.0066,0.0000,0.0154,0.5000,2
